id,title,release_date,release_date_full,popularity,vote_average,vote_count,adult,runtime,budget,revenue,genres,release_year,release_month,label_popular_top25,label_high_rating
1084242,Zootopia 2,2025-11-26,2025-11-26,376.1868,7.6,1297,False,108,150000000.0,1744338246.0,Animation|Comedy|Adventure|Family|Mystery,2025,11,1,1
840464,Greenland 2: Migration,2026-01-07,2026-01-07,305.9816,6.58,143,False,98,90000000.0,11416907.0,Adventure|Thriller|Science Fiction,2026,1,1,0
840464,Greenland 2: Migration,2026-01-07,2026-01-07,305.9816,6.58,143,False,98,90000000.0,11416907.0,Adventure|Thriller|Science Fiction,2026,1,1,0
1306368,The Rip,2026-01-13,2026-01-13,300.7556,7.051,867,False,113,100000000.0,0.0,Action|Thriller|Crime,2026,1,1,1
1043197,Dust Bunny,2025-12-11,2025-12-11,239.2488,6.56,129,False,106,0.0,928164.0,Action|Fantasy|Thriller,2025,12,1,0
1168190,The Wrecking Crew,2026-01-28,2026-01-28,267.0247,6.2,40,False,124,0.0,0.0,Action|Comedy|Crime|Mystery,2026,1,1,0
1419406,The Shadow's Edge,2025-08-16,2025-08-16,363.8111,7.217,352,False,142,0.0,174400000.0,Action|Crime|Drama|Thriller,2025,8,1,1
1326878,Strangers,2024-08-16,2024-08-16,258.9958,5.5,24,False,106,0.0,0.0,Action|Thriller|Crime,2024,8,1,0
1242898,Predator: Badlands,2025-11-05,2025-11-05,233.7913,7.753,1703,False,107,105000000.0,184561056.0,Action|Science Fiction|Adventure,2025,11,1,1
83533,Avatar: Fire and Ash,2025-12-17,2025-12-17,222.7451,7.302,1643,False,198,350000000.0,1378692505.0,Science Fiction|Adventure|Fantasy,2025,12,1,1
1234731,Anaconda,2025-12-24,2025-12-24,238.1653,5.983,230,False,100,45000000.0,128328016.0,Adventure|Comedy|Horror,2025,12,1,0
991494,The SpongeBob Movie: Search for SquarePants,2025-12-16,2025-12-16,167.3536,6.618,140,False,88,64000000.0,153600000.0,Animation|Family|Comedy|Adventure|Fantasy,2025,12,1,0
1368166,The Housemaid,2025-12-18,2025-12-18,147.963,7.1,551,False,131,35000000.0,305000000.0,Mystery|Thriller,2025,12,1,1
1242501,Icefall,2025-10-16,2025-10-16,133.0881,6.471,105,False,99,0.0,0.0,Action|Crime|Thriller,2025,10,1,0
1412598,Killer Whale,2026-01-16,2026-01-16,119.4486,5.693,44,False,89,0.0,0.0,Thriller|Horror|Action|Mystery|Science Fiction,2026,1,1,0
755898,War of the Worlds,2025-07-29,2025-07-29,122.9424,4.213,867,False,91,10000000.0,0.0,Science Fiction|Thriller,2025,7,1,0
1252037,The Tank,2025-09-18,2025-09-18,109.5764,6.988,288,False,117,0.0,0.0,War|Action|Drama,2025,9,1,0
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,2025-07-18,101.9656,7.675,684,False,156,20000000.0,724279886.0,Animation|Action|Fantasy,2025,7,1,1
1233413,Sinners,2025-04-16,2025-04-16,100.3101,7.488,3437,False,138,90000000.0,368389632.0,Horror|Action|Thriller,2025,4,1,1
