adult,backdrop_path,genre_ids,id,original_language_x,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,runtime,budget,revenue,genres,release_date_full,original_language_y,status
False,/5h2EsPKNDdB3MAtOk9MB9Ycg9Rz.jpg,"[16, 35, 12, 10751, 9648]",1084242,en,Zootopia 2,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",376.1868,/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg,2025-11-26,Zootopia 2,False,7.6,1297,108,150000000,1744338246,Animation|Comedy|Adventure|Family|Mystery,2025-11-26,en,Released
False,/tyjXlexbNZQ0ZT1KEJslQtBirqc.jpg,"[12, 53, 878]",840464,en,Greenland 2: Migration,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.",305.9816,/dtPwBZjzqTaObjG4fKStRkBq1uu.jpg,2026-01-07,Greenland 2: Migration,False,6.58,143,98,90000000,11416907,Adventure|Thriller|Science Fiction,2026-01-07,en,Released
False,/tyjXlexbNZQ0ZT1KEJslQtBirqc.jpg,"[12, 53, 878]",840464,en,Greenland 2: Migration,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.",305.9816,/dtPwBZjzqTaObjG4fKStRkBq1uu.jpg,2026-01-07,Greenland 2: Migration,False,6.58,143,98,90000000,11416907,Adventure|Thriller|Science Fiction,2026-01-07,en,Released
False,/3F2EXWF1thX0BdrVaKvnm6mAhqh.jpg,"[28, 53, 80]",1306368,en,The Rip,"Trust frays when a team of Miami cops discovers millions in cash inside a run-down stash house, calling everyone — and everything — into question.",300.7556,/p4bW2sJKAwcHuLpfoZK7Zo63osA.jpg,2026-01-13,The Rip,False,7.051,867,113,100000000,0,Action|Thriller|Crime,2026-01-13,en,Released
False,/AecGG1XVCmkk7fT10ko3FC0dLIP.jpg,"[28, 14, 53]",1043197,en,Dust Bunny,"Ten-year-old Aurora asks her hitman neighbor to kill the monster under her bed that she claims ate her family. To protect her, he must battle an onslaught of assassins while accepting that some monsters are real.",239.2488,/vobigFZFvbYPf6ElYJu07P9rH8C.jpg,2025-12-11,Dust Bunny,False,6.56,129,106,0,928164,Action|Fantasy|Thriller,2025-12-11,en,Released
False,/cz4vLJrmaV1zJlRYbxqtvLzeLWB.jpg,"[28, 35, 80, 9648]",1168190,en,The Wrecking Crew,"Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart.",267.0247,/gbVwHl4YPSq6BcC92TQpe7qUTh6.jpg,2026-01-28,The Wrecking Crew,False,6.2,40,124,0,0,Action|Comedy|Crime|Mystery,2026-01-28,en,Released
False,/4BtL2vvEufDXDP4u6xQjjQ1Y2aT.jpg,"[28, 80, 18, 53]",1419406,zh,捕风追影,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,363.8111,/e0RU6KpdnrqFxDKlI3NOqN8nHL6.jpg,2025-08-16,The Shadow's Edge,False,7.217,352,142,0,174400000,Action|Crime|Drama|Thriller,2025-08-16,zh,Released
False,/xGbNoh7aWmU81oYuxJoFI07Rz5I.jpg,"[28, 53, 80]",1326878,en,Strangers,"Seeking revenge on her abusive husband, a woman's life takes a dark turn when she meets a mysterious hitman. Drawn into a whirlwind romance, she spirals into a dangerous vigilante spree. As the body count rises, she begins to unravel the true nature of her partner and the secrets they both conceal.",258.9958,/ohpuwSBMgP44OPduPkpOtLxh90w.jpg,2024-08-16,Strangers,False,5.5,24,106,0,0,Action|Thriller|Crime,2024-08-16,en,Released
False,/ebyxeBh56QNXxSJgTnmz7fXAlwk.jpg,"[28, 878, 12]",1242898,en,Predator: Badlands,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",233.7913,/pHpq9yNUIo6aDoCXEBzjSolywgz.jpg,2025-11-05,Predator: Badlands,False,7.753,1703,107,105000000,184561056,Action|Science Fiction|Adventure,2025-11-05,en,Released
False,/3Dqievkc7krcTtDE2hjRkIsEzB1.jpg,"[878, 12, 14]",83533,en,Avatar: Fire and Ash,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",222.7451,/5bxrxnRaxZooBAxgUVBZ13dpzC7.jpg,2025-12-17,Avatar: Fire and Ash,False,7.302,1643,198,350000000,1378692505,Science Fiction|Adventure|Fantasy,2025-12-17,en,Released
