support,itemsets
0.38990825688073394,frozenset({'Action'})
0.26146788990825687,frozenset({'Adventure'})
0.11009174311926606,frozenset({'Animation'})
0.22018348623853212,frozenset({'Comedy'})
0.13761467889908258,frozenset({'Crime'})
0.2706422018348624,frozenset({'Drama'})
0.07339449541284404,frozenset({'Family'})
0.1651376146788991,frozenset({'Fantasy'})
0.5,frozenset({'HighBudget'})
0.44036697247706424,frozenset({'HighRating'})
0.5091743119266054,frozenset({'HighRevenue'})
0.16055045871559634,frozenset({'Horror'})
0.5045871559633027,frozenset({'LongRuntime'})
0.5,frozenset({'LowBudget'})
0.5596330275229358,frozenset({'LowRating'})
0.4908256880733945,frozenset({'LowRevenue'})
0.12844036697247707,frozenset({'Mystery'})
0.7981651376146789,frozenset({'NonSummerRelease'})
0.7477064220183486,frozenset({'NotPopularTop25'})
0.25229357798165136,frozenset({'PopularTop25'})
0.10091743119266056,frozenset({'Romance'})
0.21559633027522937,frozenset({'Science Fiction'})
0.4954128440366973,frozenset({'ShortRuntime'})
0.2018348623853211,frozenset({'SummerRelease'})
0.3394495412844037,frozenset({'Thriller'})
0.14220183486238533,"frozenset({'Action', 'Adventure'})"
0.08256880733944955,"frozenset({'Action', 'Crime'})"
0.21559633027522937,"frozenset({'Action', 'HighBudget'})"
0.20642201834862386,"frozenset({'HighRating', 'Action'})"
0.22935779816513763,"frozenset({'HighRevenue', 'Action'})"
0.24770642201834864,"frozenset({'Action', 'LongRuntime'})"
0.1743119266055046,"frozenset({'LowBudget', 'Action'})"
0.1834862385321101,"frozenset({'Action', 'LowRating'})"
0.16055045871559634,"frozenset({'Action', 'LowRevenue'})"
0.2889908256880734,"frozenset({'Action', 'NonSummerRelease'})"
0.2706422018348624,"frozenset({'Action', 'NotPopularTop25'})"
0.11926605504587157,"frozenset({'Action', 'PopularTop25'})"
0.13302752293577982,"frozenset({'Action', 'Science Fiction'})"
0.14220183486238533,"frozenset({'Action', 'ShortRuntime'})"
0.10091743119266056,"frozenset({'SummerRelease', 'Action'})"
0.1559633027522936,"frozenset({'Action', 'Thriller'})"
0.0779816513761468,"frozenset({'Fantasy', 'Adventure'})"
0.22018348623853212,"frozenset({'HighBudget', 'Adventure'})"
0.1651376146788991,"frozenset({'HighRating', 'Adventure'})"
0.2018348623853211,"frozenset({'HighRevenue', 'Adventure'})"
0.16972477064220184,"frozenset({'Adventure', 'LongRuntime'})"
0.0963302752293578,"frozenset({'LowRating', 'Adventure'})"
0.20642201834862386,"frozenset({'NonSummerRelease', 'Adventure'})"
0.18807339449541285,"frozenset({'Adventure', 'NotPopularTop25'})"
0.07339449541284404,"frozenset({'PopularTop25', 'Adventure'})"
0.12844036697247707,"frozenset({'Adventure', 'Science Fiction'})"
0.09174311926605505,"frozenset({'ShortRuntime', 'Adventure'})"
0.0779816513761468,"frozenset({'HighBudget', 'Animation'})"
0.09174311926605505,"frozenset({'HighRating', 'Animation'})"
0.0871559633027523,"frozenset({'HighRevenue', 'Animation'})"
0.07339449541284404,"frozenset({'NonSummerRelease', 'Animation'})"
0.0779816513761468,"frozenset({'Animation', 'ShortRuntime'})"
0.0871559633027523,"frozenset({'HighBudget', 'Comedy'})"
0.11009174311926606,"frozenset({'HighRating', 'Comedy'})"
0.10091743119266056,"frozenset({'HighRevenue', 'Comedy'})"
0.07339449541284404,"frozenset({'Comedy', 'LongRuntime'})"
0.13302752293577982,"frozenset({'LowBudget', 'Comedy'})"
0.11009174311926606,"frozenset({'LowRating', 'Comedy'})"
0.11926605504587157,"frozenset({'Comedy', 'LowRevenue'})"
0.1743119266055046,"frozenset({'NonSummerRelease', 'Comedy'})"
0.16972477064220184,"frozenset({'Comedy', 'NotPopularTop25'})"
0.14678899082568808,"frozenset({'Comedy', 'ShortRuntime'})"
0.08256880733944955,"frozenset({'HighRevenue', 'Crime'})"
0.0779816513761468,"frozenset({'Crime', 'LongRuntime'})"
0.07339449541284404,"frozenset({'LowBudget', 'Crime'})"
0.0779816513761468,"frozenset({'LowRating', 'Crime'})"
0.0963302752293578,"frozenset({'NonSummerRelease', 'Crime'})"
0.09174311926605505,"frozenset({'Crime', 'NotPopularTop25'})"
0.10091743119266056,"frozenset({'Thriller', 'Crime'})"
0.08256880733944955,"frozenset({'HighBudget', 'Drama'})"
0.13302752293577982,"frozenset({'HighRating', 'Drama'})"
0.10550458715596331,"frozenset({'HighRevenue', 'Drama'})"
0.19724770642201836,"frozenset({'Drama', 'LongRuntime'})"
0.18807339449541285,"frozenset({'LowBudget', 'Drama'})"
0.13761467889908258,"frozenset({'LowRating', 'Drama'})"
0.1651376146788991,"frozenset({'LowRevenue', 'Drama'})"
0.22477064220183487,"frozenset({'NonSummerRelease', 'Drama'})"
0.22018348623853212,"frozenset({'Drama', 'NotPopularTop25'})"
0.07339449541284404,"frozenset({'Drama', 'ShortRuntime'})"
0.11009174311926606,"frozenset({'HighBudget', 'Fantasy'})"
0.11467889908256881,"frozenset({'HighRating', 'Fantasy'})"
0.11926605504587157,"frozenset({'HighRevenue', 'Fantasy'})"
0.0963302752293578,"frozenset({'Fantasy', 'LongRuntime'})"
0.11467889908256881,"frozenset({'NonSummerRelease', 'Fantasy'})"
0.11467889908256881,"frozenset({'Fantasy', 'NotPopularTop25'})"
0.3211009174311927,"frozenset({'HighRating', 'HighBudget'})"
0.44036697247706424,"frozenset({'HighRevenue', 'HighBudget'})"
0.0779816513761468,"frozenset({'Horror', 'HighBudget'})"
0.3532110091743119,"frozenset({'HighBudget', 'LongRuntime'})"
0.17889908256880735,"frozenset({'LowRating', 'HighBudget'})"
0.3944954128440367,"frozenset({'HighBudget', 'NonSummerRelease'})"
0.3302752293577982,"frozenset({'HighBudget', 'NotPopularTop25'})"
0.16972477064220184,"frozenset({'HighBudget', 'PopularTop25'})"
0.1651376146788991,"frozenset({'HighBudget', 'Science Fiction'})"
0.14678899082568808,"frozenset({'HighBudget', 'ShortRuntime'})"
0.10550458715596331,"frozenset({'SummerRelease', 'HighBudget'})"
0.16972477064220184,"frozenset({'HighBudget', 'Thriller'})"
0.3440366972477064,"frozenset({'HighRating', 'HighRevenue'})"
0.3394495412844037,"frozenset({'HighRating', 'LongRuntime'})"
0.11926605504587157,"frozenset({'HighRating', 'LowBudget'})"
0.0963302752293578,"frozenset({'HighRating', 'LowRevenue'})"
0.3302752293577982,"frozenset({'HighRating', 'NonSummerRelease'})"
0.3394495412844037,"frozenset({'HighRating', 'NotPopularTop25'})"
0.10091743119266056,"frozenset({'HighRating', 'PopularTop25'})"
0.11467889908256881,"frozenset({'HighRating', 'Science Fiction'})"
0.10091743119266056,"frozenset({'HighRating', 'ShortRuntime'})"
0.11009174311926606,"frozenset({'HighRating', 'SummerRelease'})"
0.12844036697247707,"frozenset({'HighRating', 'Thriller'})"
0.07339449541284404,"frozenset({'HighRevenue', 'Horror'})"
0.37155963302752293,"frozenset({'HighRevenue', 'LongRuntime'})"
0.1651376146788991,"frozenset({'HighRevenue', 'LowRating'})"
