popularity,vote_average,vote_count,runtime,budget,revenue
376.1868,7.6,1297,108,150000000.0,1744338246.0
305.9816,6.58,143,98,90000000.0,11416907.0
305.9816,6.58,143,98,90000000.0,11416907.0
300.7556,7.051,867,113,100000000.0,0.0
239.2488,6.56,129,106,0.0,928164.0
267.0247,6.2,40,124,0.0,0.0
363.8111,7.217,352,142,0.0,174400000.0
258.9958,5.5,24,106,0.0,0.0
233.7913,7.753,1703,107,105000000.0,184561056.0
222.7451,7.302,1643,198,350000000.0,1378692505.0
238.1653,5.983,230,100,45000000.0,128328016.0
167.3536,6.618,140,88,64000000.0,153600000.0
147.963,7.1,551,131,35000000.0,305000000.0
133.0881,6.471,105,99,0.0,0.0
119.4486,5.693,44,89,0.0,0.0
122.9424,4.213,867,91,10000000.0,0.0
109.5764,6.988,288,117,0.0,0.0
101.9656,7.675,684,156,20000000.0,724279886.0
100.3101,7.488,3437,138,90000000.0,368389632.0
89.6567,3.8,15,88,0.0,0.0
95.0521,7.9,34,109,60900000.0,77770275.0
305.9816,6.6,142,98,90000000.0,11416907.0
305.9816,6.6,142,98,90000000.0,11416907.0
82.4454,7.867,346,150,65000000.0,116300000.0
76.8269,6.4,52,117,0.0,9187679.0
74.3052,6.1,26,224,65000000.0,3500000.0
80.8943,6.6,971,113,90000000.0,239845830.0
74.6943,6.63,188,102,0.0,0.0
70.6801,7.421,2616,162,175000000.0,206311045.0
74.8319,6.0,4759,124,70000000.0,277448382.0
66.0039,6.6,60,0,0.0,0.0
67.2374,7.2,261,109,63000000.0,46200000.0
70.9271,6.857,77,100,60000000.0,22700000.0
66.2639,7.923,35471,143,220000000.0,1518815515.0
59.1111,5.995,542,107,0.0,0.0
67.083,7.2,18,113,40000000.0,10821.0
64.1619,6.7,671,104,36000000.0,237625385.0
56.8589,5.3,55,106,23000000.0,19300000.0
56.8589,5.3,55,106,23000000.0,19300000.0
60.0664,9.0,8,51,0.0,0.0
53.1045,6.9,34,123,9500000.0,24508523.0
52.9988,6.752,101,93,0.0,0.0
60.3098,8.11,2291,96,100000000.0,24690793.0
60.3098,8.11,2291,96,100000000.0,24690793.0
60.3098,8.11,2291,96,100000000.0,24690793.0
60.3098,8.11,2291,96,100000000.0,24690793.0
54.977,8.4,16,141,0.0,0.0
56.8589,5.3,55,106,23000000.0,19300000.0
56.8589,5.3,55,106,23000000.0,19300000.0
51.75,6.518,1103,119,220000000.0,142249983.0
50.0654,6.266,64,95,0.0,0.0
52.9428,6.329,2900,134,180000000.0,869146189.0
54.7362,7.692,2765,150,120000000.0,480678.0
49.2348,6.798,1078,133,110000000.0,68615641.0
46.1727,5.6,78,88,0.0,44559195.0
40.1375,7.6,13608,192,350000000.0,2353096253.0
40.1375,7.6,13608,192,350000000.0,2353096253.0
47.9796,7.804,158,126,35000000.0,42580530.0
47.866,6.368,53,123,0.0,0.0
44.3709,6.432,148,95,0.0,1000526.0
