id,title,vote_average,vote_count,runtime,budget,revenue,genres,label_popular_top25
1084242,Zootopia 2,7.6,1297,108,150000000.0,1744338246.0,Animation|Comedy|Adventure|Family|Mystery,1
840464,Greenland 2: Migration,6.58,143,98,90000000.0,11416907.0,Adventure|Thriller|Science Fiction,1
1306368,The Rip,7.051,867,113,100000000.0,0.0,Action|Thriller|Crime,1
1168190,The Wrecking Crew,6.2,40,124,0.0,0.0,Action|Comedy|Crime|Mystery,1
1419406,The Shadow's Edge,7.217,352,142,0.0,174400000.0,Action|Crime|Drama|Thriller,1
1326878,Strangers,5.5,24,106,0.0,0.0,Action|Thriller|Crime,1
1242898,Predator: Badlands,7.753,1703,107,105000000.0,184561056.0,Action|Science Fiction|Adventure,1
83533,Avatar: Fire and Ash,7.302,1643,198,350000000.0,1378692505.0,Science Fiction|Adventure|Fantasy,1
1234731,Anaconda,5.983,230,100,45000000.0,128328016.0,Adventure|Comedy|Horror,1
991494,The SpongeBob Movie: Search for SquarePants,6.618,140,88,64000000.0,153600000.0,Animation|Family|Comedy|Adventure|Fantasy,1
