id,title,vote_average,vote_count,runtime,budget,revenue,genres,release_year,release_month,label_popular_top25,label_high_rating
1084242,Zootopia 2,7.6,1297,108,150000000.0,1744338246.0,Animation|Comedy|Adventure|Family|Mystery,2025,11,1,1
840464,Greenland 2: Migration,6.58,143,98,90000000.0,11416907.0,Adventure|Thriller|Science Fiction,2026,1,1,0
1306368,The Rip,7.051,867,113,100000000.0,0.0,Action|Thriller|Crime,2026,1,1,1
1043197,Dust Bunny,6.56,129,106,0.0,928164.0,Action|Fantasy|Thriller,2025,12,1,0
1168190,The Wrecking Crew,6.2,40,124,0.0,0.0,Action|Comedy|Crime|Mystery,2026,1,1,0
1419406,The Shadow's Edge,7.217,352,142,0.0,174400000.0,Action|Crime|Drama|Thriller,2025,8,1,1
1326878,Strangers,5.5,24,106,0.0,0.0,Action|Thriller|Crime,2024,8,1,0
1242898,Predator: Badlands,7.753,1703,107,105000000.0,184561056.0,Action|Science Fiction|Adventure,2025,11,1,1
83533,Avatar: Fire and Ash,7.302,1643,198,350000000.0,1378692505.0,Science Fiction|Adventure|Fantasy,2025,12,1,1
1234731,Anaconda,5.983,230,100,45000000.0,128328016.0,Adventure|Comedy|Horror,2025,12,1,0
991494,The SpongeBob Movie: Search for SquarePants,6.618,140,88,64000000.0,153600000.0,Animation|Family|Comedy|Adventure|Fantasy,2025,12,1,0
1368166,The Housemaid,7.1,551,131,35000000.0,305000000.0,Mystery|Thriller,2025,12,1,1
1242501,Icefall,6.471,105,99,0.0,0.0,Action|Crime|Thriller,2025,10,1,0
1412598,Killer Whale,5.693,44,89,0.0,0.0,Thriller|Horror|Action|Mystery|Science Fiction,2026,1,1,0
755898,War of the Worlds,4.213,867,91,10000000.0,0.0,Science Fiction|Thriller,2025,7,1,0
1252037,The Tank,6.988,288,117,0.0,0.0,War|Action|Drama,2025,9,1,0
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,7.675,684,156,20000000.0,724279886.0,Animation|Action|Fantasy,2025,7,1,1
1233413,Sinners,7.488,3437,138,90000000.0,368389632.0,Horror|Action|Thriller,2025,4,1,1
1608982,From the Ashes: The Pit,3.8,15,88,0.0,0.0,Thriller|Drama,2026,1,1,0
1167307,David,7.9,34,109,60900000.0,77770275.0,Animation|Family|Drama,2025,12,1,1
1317288,Marty Supreme,7.867,346,150,65000000.0,116300000.0,Drama,2025,12,1,1
1131759,Omniscient Reader: The Prophecy,6.4,52,117,0.0,9187679.0,Action|Adventure|Fantasy,2025,7,1,0
1511417,Bāhubali: The Epic,6.1,26,224,65000000.0,3500000.0,Action|Drama,2025,10,1,0
425274,Now You See Me: Now You Don't,6.6,971,113,90000000.0,239845830.0,Thriller|Crime|Mystery,2025,11,1,0
628847,Trap House,6.63,188,102,0.0,0.0,Action|Crime|Thriller,2025,11,1,0
1054867,One Battle After Another,7.421,2616,162,175000000.0,206311045.0,Thriller|Crime|Action,2025,9,1,1
7451,xXx,6.0,4759,124,70000000.0,277448382.0,Action|Adventure|Thriller|Crime|Drama,2002,8,1,0
1491902,Bang,6.6,60,0,0.0,0.0,Action|Thriller,2025,7,1,0
1272837,28 Years Later: The Bone Temple,7.2,261,109,63000000.0,46200000.0,Horror|Thriller|Science Fiction,2026,1,1,1
1236153,Mercy,6.857,77,100,60000000.0,22700000.0,Science Fiction|Action|Thriller,2026,1,1,0
24428,The Avengers,7.923,35471,143,220000000.0,1518815515.0,Science Fiction|Action|Adventure,2012,4,1,1
982843,The Great Flood,5.995,542,107,0.0,0.0,Science Fiction|Adventure|Drama,2025,9,1,0
1198994,Send Help,7.2,18,113,40000000.0,10821.0,Horror|Thriller|Comedy,2026,1,1,1
1228246,Five Nights at Freddy's 2,6.7,671,104,36000000.0,237625385.0,Horror|Thriller,2025,12,1,0
680493,Return to Silent Hill,5.3,55,106,23000000.0,19300000.0,Horror|Mystery,2026,1,1,0
1147411,"Miraculous World: Tokyo, Stellar Force",9.0,8,51,0.0,0.0,Adventure|Animation|Action|TV Movie|Comedy,2025,12,1,1
1137179,Yadang: The Snitch,6.9,34,123,9500000.0,24508523.0,Crime|Action|Comedy|Drama|Thriller,2025,4,1,0
1439112,Muzzle: City of Wolves,6.752,101,93,0.0,0.0,Action|Thriller|Mystery,2025,11,1,0
803796,KPop Demon Hunters,8.11,2291,96,100000000.0,24690793.0,Fantasy|Music|Comedy|Animation,2025,6,1,1
1575337,Cosmic Princess Kaguya!,8.4,16,141,0.0,0.0,Animation|Fantasy|Music|Science Fiction,2026,1,1,1
533533,TRON: Ares,6.518,1103,119,220000000.0,142249983.0,Science Fiction|Adventure|Action,2025,10,1,0
1196067,Worldbreaker,6.266,64,95,0.0,0.0,Science Fiction|Action|Horror,2025,10,1,0
1234821,Jurassic World Rebirth,6.329,2900,134,180000000.0,869146189.0,Science Fiction|Adventure|Action,2025,7,1,0
1062722,Frankenstein,7.692,2765,150,120000000.0,480678.0,Drama|Fantasy|Horror,2025,10,1,1
798645,The Running Man,6.798,1078,133,110000000.0,68615641.0,Action|Thriller|Science Fiction,2025,11,1,0
1539104,JUJUTSU KAISEN: Execution,5.6,78,88,0.0,44559195.0,Animation|Action,2025,11,0,0
76600,Avatar: The Way of Water,7.6,13608,192,350000000.0,2353096253.0,Action|Adventure|Science Fiction,2022,12,0,1
858024,Hamnet,7.804,158,126,35000000.0,42580530.0,Drama|Romance|History,2025,11,1,1
1247002,The Old Woman with the Knife,6.368,53,123,0.0,0.0,Action|Mystery|Drama,2025,4,0,0
1195518,The Unholy Trinity,6.432,148,95,0.0,1000526.0,Western|Adventure|Crime,2025,6,0,0
1033462,Bureau 749,6.231,80,123,0.0,51706251.0,Action|Adventure|Science Fiction,2024,10,0,0
1244876,El molino,0.0,0,107,0.0,0.0,Drama,2024,3,0,0
1315303,Primate,6.625,64,89,21000000.0,30502877.0,Horror|Thriller,2026,1,0,0
575265,Mission: Impossible - The Final Reckoning,7.19,2475,170,400000000.0,598767057.0,Action|Thriller|Adventure,2025,5,0,1
1220564,The Secret Agent,7.675,229,161,5000000.0,6471965.0,Crime|Drama|Thriller,2025,7,0,1
1223601,Sisu: Road to Revenge,7.4,503,89,12200000.0,9724644.0,Action|War,2025,10,0,1
911430,F1,7.793,3185,156,250000000.0,631627111.0,Action|Drama,2025,6,0,1
157336,Interstellar,8.466,38728,169,165000000.0,746606706.0,Adventure|Drama|Science Fiction,2014,11,0,1
19995,Avatar,7.6,33350,162,237000000.0,2353096253.0,Action|Adventure|Fantasy|Science Fiction,2009,12,0,1
1255674,Crazy Old Lady,5.7,19,91,0.0,0.0,Horror|Thriller|Comedy,2025,10,0,0
1301122,Nazi Supersoldier,5.435,23,78,0.0,0.0,Horror|Action|Science Fiction,2024,10,0,0
1208348,Rental Family,7.8,274,110,0.0,10706787.0,Comedy|Drama,2025,11,0,1
269149,Zootopia,7.758,17576,109,150000000.0,1025521689.0,Animation|Adventure|Family|Comedy,2016,2,0,1
675954,El mochaorejas,5.3,3,90,0.0,0.0,Crime|Action,1998,1,0,0
1218925,Chainsaw Man - The Movie: Reze Arc,8.32,649,99,4100000.0,174502910.0,Animation|Action|Romance|Fantasy,2025,9,0,1
1336189,Delivery Run,5.729,35,84,0.0,0.0,Action|Thriller,2025,9,0,0
1387382,Hunting Season,7.1,123,93,0.0,0.0,Action|Drama|Thriller,2025,12,0,1
1266990,Kulong,6.778,9,48,0.0,0.0,Drama,2024,5,0,0
639988,No Other Choice,7.7,544,139,12200000.0,30098000.0,Crime|Thriller|Comedy,2025,9,0,1
524047,Greenland,7.1,4988,120,34000000.0,52300000.0,Action|Adventure|Thriller|Science Fiction,2020,7,0,1
701387,Bugonia,7.386,1272,119,50000000.0,40796580.0,Science Fiction|Thriller|Comedy,2025,10,0,1
1495435,Ultimo film,0.0,0,0,0.0,0.0,Documentary,2023,10,0,0
13483,Awake,6.546,1449,84,86000000.0,14373825.0,Thriller|Crime|Mystery,2007,11,0,0
1061474,Superman,7.377,4228,130,225000000.0,616823803.0,Science Fiction|Adventure|Action,2025,7,0,1
1246049,Dracula,7.2,772,130,52000000.0,28623298.0,Horror|Fantasy|Romance,2025,7,0,1
1448560,Wildcat,5.968,78,99,50000.0,0.0,Action|Thriller,2025,11,0,0
1034716,People We Meet on Vacation,7.047,360,116,1000000.0,0.0,Romance|Comedy|Drama,2026,1,0,1
1010581,My Fault,7.76,3981,117,0.0,0.0,Drama|Romance|Thriller,2023,6,0,1
1013446,Reflection in a Dead Diamond,6.136,59,87,0.0,0.0,Action|Thriller|Mystery,2025,6,0,0
617126,The Fantastic 4: First Steps,6.982,2907,115,200000000.0,521858728.0,Science Fiction|Adventure|Action,2025,7,0,0
1512623,Risqué,7.368,53,91,0.0,0.0,Action|Crime|Thriller,2025,8,0,1
1100988,28 Years Later,6.616,2131,115,60000000.0,151308832.0,Horror|Thriller|Science Fiction,2025,6,0,0
1083637,Kantara - A Legend: Chapter 1,7.017,58,165,14000000.0,91000000.0,Action|Drama|Fantasy,2025,10,0,1
1366745,Papá x dos,4.2,10,104,0.0,0.0,Family|Comedy|Romance,2025,9,0,0
1238188,The Captive,6.929,35,134,10720500.0,0.0,Drama|History,2025,9,0,0
