vote_average,vote_count,runtime,budget,revenue,release_year,release_month,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_Unknown,genre_War,genre_Western
7.6,7.169,108,18.826,21.28,2025,11,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6.58,4.97,98,18.315,16.251,2026,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
7.051,6.766,113,18.421,0.0,2026,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6.56,4.868,106,0.0,13.741,2025,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6.2,3.714,124,0.0,0.0,2026,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7.217,5.866,142,0.0,18.977,2025,8,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5.5,3.219,106,0.0,0.0,2024,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7.753,7.441,107,18.469,19.033,2025,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7.302,7.405,198,19.673,21.044,2025,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
5.983,5.442,100,17.622,18.67,2025,12,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6.618,4.949,88,17.974,18.85,2025,12,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7.1,6.314,131,17.371,19.536,2025,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
