antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'HighRevenue', 'HighBudget', 'NotPopularTop25', 'Science Fiction'})",frozenset({'LongRuntime'}),0.0963302752293578,0.5045871559633027,0.0963302752293578,1.0,1.981818181818182,1.0,0.04772325561821396,inf,0.5482233502538071,0.19090909090909092,1.0,0.5954545454545455
"frozenset({'HighRating', 'HighBudget', 'Animation'})",frozenset({'HighRevenue'}),0.07339449541284404,0.5091743119266054,0.07339449541284404,1.0,1.963963963963964,1.0,0.036023903711808775,inf,0.5297029702970297,0.14414414414414417,1.0,0.5720720720720721
"frozenset({'HighBudget', 'LongRuntime', 'NotPopularTop25', 'Adventure', 'NonSummerRelease'})",frozenset({'HighRevenue'}),0.10550458715596331,0.5091743119266054,0.10550458715596331,1.0,1.963963963963964,1.0,0.051784361585725115,inf,0.5487179487179488,0.20720720720720723,1.0,0.6036036036036037
"frozenset({'Action', 'NonSummerRelease', 'Adventure', 'LongRuntime'})",frozenset({'HighRevenue'}),0.09174311926605505,0.5091743119266054,0.09174311926605505,1.0,1.963963963963964,1.0,0.04502987963976097,inf,0.5404040404040404,0.1801801801801802,1.0,0.5900900900900901
"frozenset({'HighBudget', 'Science Fiction', 'Adventure', 'LongRuntime'})",frozenset({'HighRevenue'}),0.0871559633027523,0.5091743119266054,0.0871559633027523,1.0,1.963963963963964,1.0,0.04277838565777292,inf,0.5376884422110554,0.1711711711711712,1.0,0.5855855855855856
"frozenset({'HighRating', 'HighBudget', 'Action', 'Adventure', 'NonSummerRelease'})",frozenset({'HighRevenue'}),0.0871559633027523,0.5091743119266054,0.0871559633027523,1.0,1.963963963963964,1.0,0.04277838565777292,inf,0.5376884422110554,0.1711711711711712,1.0,0.5855855855855856
"frozenset({'HighRating', 'Action', 'NotPopularTop25', 'Science Fiction'})",frozenset({'LongRuntime'}),0.07339449541284404,0.5045871559633027,0.07339449541284404,1.0,1.981818181818182,1.0,0.0363605757091154,inf,0.5346534653465347,0.14545454545454548,1.0,0.5727272727272728
"frozenset({'HighRevenue', 'Adventure', 'NotPopularTop25', 'Science Fiction'})",frozenset({'LongRuntime'}),0.07339449541284404,0.5045871559633027,0.07339449541284404,1.0,1.981818181818182,1.0,0.0363605757091154,inf,0.5346534653465347,0.14545454545454548,1.0,0.5727272727272728
"frozenset({'HighRating', 'NonSummerRelease', 'NotPopularTop25', 'Science Fiction'})",frozenset({'LongRuntime'}),0.07339449541284404,0.5045871559633027,0.07339449541284404,1.0,1.981818181818182,1.0,0.0363605757091154,inf,0.5346534653465347,0.14545454545454548,1.0,0.5727272727272728
"frozenset({'HighRevenue', 'NonSummerRelease', 'NotPopularTop25', 'Science Fiction'})",frozenset({'LongRuntime'}),0.07339449541284404,0.5045871559633027,0.07339449541284404,1.0,1.981818181818182,1.0,0.0363605757091154,inf,0.5346534653465347,0.14545454545454548,1.0,0.5727272727272728
"frozenset({'HighRating', 'HighBudget', 'Adventure', 'LongRuntime'})",frozenset({'HighRevenue'}),0.12844036697247707,0.5091743119266054,0.12844036697247707,1.0,1.963963963963964,1.0,0.06304183149566536,inf,0.5631578947368422,0.2522522522522523,1.0,0.6261261261261262
"frozenset({'HighBudget', 'Adventure', 'NotPopularTop25', 'LongRuntime'})",frozenset({'HighRevenue'}),0.12844036697247707,0.5091743119266054,0.12844036697247707,1.0,1.963963963963964,1.0,0.06304183149566536,inf,0.5631578947368422,0.2522522522522523,1.0,0.6261261261261262
"frozenset({'Action', 'Adventure', 'HighBudget'})",frozenset({'HighRevenue'}),0.12385321100917432,0.5091743119266054,0.12385321100917432,1.0,1.963963963963964,1.0,0.06079033751367731,inf,0.5602094240837697,0.24324324324324328,1.0,0.6216216216216216
"frozenset({'NonSummerRelease', 'Adventure', 'LongRuntime'})",frozenset({'HighRevenue'}),0.12385321100917432,0.5091743119266054,0.12385321100917432,1.0,1.963963963963964,1.0,0.06079033751367731,inf,0.5602094240837697,0.24324324324324328,1.0,0.6216216216216216
"frozenset({'HighRating', 'HighBudget', 'Adventure', 'NotPopularTop25'})",frozenset({'HighRevenue'}),0.14220183486238533,0.5091743119266054,0.14220183486238533,1.0,1.963963963963964,1.0,0.06979631344162951,inf,0.5721925133689841,0.2792792792792793,1.0,0.6396396396396397
